Label,Rules,Quality,Score
36,IF checking_status==no checking AND savings_status==100<=X<500 AND employment!=>=7 THEN class=good,0.8571428571428571,0.041916167664670545
37,IF purpose==retraining THEN class=good,0.8,0.0
38,IF purpose==business AND residence>=4.0 THEN class=bad,0.8,-0.005988023952095856
39,IF employment==>=7 AND personal_status!=male single AND housing!=for free AND job!=high qualif/self emp/mgmt THEN class=good,0.9285714285714286,-0.04790419161676662
40,IF housing==rent AND credit_amount>=2631.0 AND own_telephone!=none THEN class=bad,0.9,0.0838323353293412
41,IF purpose==furniture/equipment AND own_telephone!=none AND job!=high qualif/self emp/mgmt THEN class=good,0.8888888888888888,-0.029940119760479056
42,IF purpose==education THEN class=bad,0.75,0.0
43,IF checking_status==0<=X<200 AND job==unskilled resident AND purpose!=furniture/equipment THEN class=good,0.875,0.020958083832335328
44,IF credit_amount<=1433.0 AND property_magnitude==car AND checking_status!=no checking THEN class=bad,0.9090909090909091,0.06886227544910173
45,IF credit_amount<=781.0 AND purpose!=new car AND checking_status!=0<=X<200 THEN class=bad,0.8571428571428571,0.11676646706586824
46,IF credit_amount<=1024.0 AND checking_status!=<0 THEN class=good,0.8888888888888888,0.11676646706586824
47,IF other_payment_plans==stores AND purpose==furniture/equipment THEN class=good,0.8333333333333334,-0.014970059880239583
48,IF credit_amount<=1297.0 AND personal_status==female div/dep/mar AND purpose!=radio/tv THEN class=bad,0.875,0.03293413173652693
49,IF employment==1<=X<4 AND checking_status==0<=X<200 AND other_parties!=co applicant THEN class=good,0.8888888888888888,0.03592814371257469
50,IF credit_amount>=4006.0 AND savings_status!=<100 AND job!=unskilled resident THEN class=bad,0.8888888888888888,0.05688622754491013
51,IF installment_commitment<=3.0 AND credit_amount>=5371.0 AND purpose!=business THEN class=good,0.8888888888888888,0.05688622754491013
52,IF credit_amount>=4870.0 THEN class=bad,0.875,0.07485029940119758
53,IF checking_status==>=200 AND personal_status!=male single AND employment!=<1 THEN class=good,0.875,-0.0029940119760479833
54,IF employment==unemployed AND residence>=3.0 THEN class=good,0.8888888888888888,-0.008982035928143839
55,IF employment==unemployed THEN class=bad,0.8333333333333334,-0.0029940119760479833
56,IF credit_amount>=4380.0 AND checking_status!=no checking THEN class=good,0.8333333333333334,0.11676646706586824
57,IF credit_amount>=3959.0 AND property_magnitude!=real estate THEN class=bad,0.875,0.026946107784431073
58,IF credit_amount>=3650.0 THEN class=good,0.8571428571428571,0.07485029940119758
59,IF personal_status==male mar/wid AND purpose!=new car THEN class=bad,0.8888888888888888,-0.041916167664670656
60,IF duration>=27.0 AND credit_amount<=2764.0 AND checking_status!=no checking THEN class=bad,0.875,0.12574850299401197
61,IF savings_status==100<=X<500 AND checking_status!=no checking THEN class=good,0.8333333333333334,0.04491017964071853
62,IF credit_amount<=1271.0 AND personal_status!=male single THEN class=good,0.8333333333333334,0.03293413173652693
63,IF other_payment_plans!=none AND credit_history==existing paid THEN class=good,0.8333333333333334,0.020958083832335217
64,IF checking_status==0<=X<200 AND purpose!=new car THEN class=bad,0.8,0.041916167664670656
65,IF housing==for free AND purpose!=new car AND job!=high qualif/self emp/mgmt THEN class=bad,0.8333333333333334,-0.0029940119760479833
66,IF savings_status==no known savings AND credit_amount>=1549.0 THEN class=good,0.8571428571428571,0.07784431137724546
67,IF savings_status!=<100 AND purpose!=furniture/equipment AND own_telephone==none THEN class=bad,0.8571428571428571,-0.005988023952095856
68,IF residence>=4.0 AND employment!=<1 AND credit_history!=delayed previously THEN class=good,0.8888888888888888,0.02694610778443096
69,IF property_magnitude==real estate AND credit_amount>=1835.0 AND purpose!=furniture/equipment THEN class=bad,0.8888888888888888,0.026946107784431073
70,IF employment==1<=X<4 AND purpose!=furniture/equipment THEN class=good,0.8571428571428571,-0.0029940119760479833
71,IF duration>=18.0 AND housing==own AND credit_amount>=2462.0 THEN class=bad,0.875,0.10179640718562866
72,IF property_magnitude!=life insurance AND duration>=12.0 THEN class=good,0.8888888888888888,-0.038922155688622784
73,IF employment!=1<=X<4 AND own_telephone==none THEN class=bad,0.8333333333333334,-0.011976047904191711
74,IF duration>=10.0 THEN class=good,0.8571428571428571,0.008982035928143728
75,IF checking_status==<0 THEN class=bad,0.6666666666666666,0.041916167664670656
76,IF TRUE THEN class=good,0.6946107784431138,0
